station,date_ym,total_rainfall,no_of_rainy_days
Clementi,2012-01-01,173.2,14
Clementi,2012-02-01,124.8,11
Clementi,2012-03-01,257.8,21
Clementi,2012-04-01,352.2,26
Clementi,2012-05-01,298.6,23
Clementi,2012-06-01,110.6,9
Clementi,2012-07-01,209.0,15
Clementi,2012-08-01,188.0,11
Clementi,2012-09-01,77.8,12
Clementi,2012-10-01,289.0,17
Clementi,2012-11-01,397.6,21
Clementi,2012-12-01,373.0,26
Clementi,2013-01-01,150.0,17
Clementi,2013-02-01,422.6,20
Clementi,2013-03-01,319.6,18
Clementi,2013-04-01,189.8,20
Clementi,2013-05-01,117.2,20
Clementi,2013-06-01,150.20000000000002,14
Clementi,2013-07-01,136.4,13
Clementi,2013-08-01,159.8,16
Clementi,2013-09-01,410.4,17
Clementi,2013-10-01,204.6,23
Clementi,2013-11-01,274.6,24
Clementi,2013-12-01,261.4,25
Clementi,2014-01-01,49.99999999999999,6
Clementi,2014-02-01,20.6,3
Clementi,2014-03-01,73.2,7
Clementi,2014-04-01,175.0,20
Clementi,2014-05-01,224.8,18
Clementi,2014-06-01,177.0,17
Clementi,2014-07-01,242.8,12
Clementi,2014-08-01,258.0,20
Clementi,2014-09-01,107.6,10
Clementi,2014-10-01,149.20000000000002,12
Clementi,2014-11-01,375.0,25
Clementi,2014-12-01,402.59999999999997,23
Clementi,2015-01-01,106.19999999999999,7
Clementi,2015-02-01,52.6,6
Clementi,2015-03-01,87.8,11
Clementi,2015-04-01,283.6,20
Clementi,2015-05-01,154.8,12
Clementi,2015-06-01,69.6,9
Clementi,2015-07-01,51.4,12
Clementi,2015-08-01,127.8,14
Clementi,2015-09-01,95.2,11
Clementi,2015-10-01,127.8,11
Clementi,2015-11-01,320.2,20
Clementi,2015-12-01,336.2,20
Clementi,2016-01-01,234.8,23
Clementi,2016-02-01,170.79999999999998,15
Clementi,2016-03-01,76.0,9
Clementi,2016-04-01,203.8,21
Clementi,2016-05-01,164.8,16
Clementi,2016-06-01,206.8,17
Clementi,2016-07-01,275.6,17
Clementi,2016-08-01,97.39999999999999,12
Clementi,2016-09-01,182.0,18
Clementi,2016-10-01,186.0,17
Clementi,2016-11-01,394.0,25
Clementi,2016-12-01,205.0,19
Clementi,2017-01-01,177.6,15
Clementi,2017-02-01,129.0,16
Clementi,2017-03-01,197.6,19
Clementi,2017-04-01,398.6,23
Clementi,2017-05-01,230.8,13
Clementi,2017-06-01,95.8,11
Clementi,2017-07-01,155.0,9
Clementi,2017-08-01,117.80000000000001,12
Clementi,2017-09-01,155.2,19
Clementi,2017-10-01,244.0,16
Clementi,2017-11-01,319.6,26
Clementi,2017-12-01,217.6,15
Clementi,2018-01-01,267.8,16
Clementi,2018-02-01,32.800000000000004,5
Clementi,2018-03-01,148.5,15
Clementi,2018-04-01,301.4,17
Clementi,2018-05-01,235.8,22
Clementi,2018-06-01,567.2,17
Clementi,2018-07-01,143.6,13
Clementi,2018-08-01,111.4,12
Clementi,2018-09-01,253.6,12
Clementi,2018-10-01,196.2,17
Clementi,2018-11-01,368.8,29
Clementi,2018-12-01,356.0,21
Clementi,2019-01-01,108.19999999999999,12
Clementi,2019-02-01,41.2,7
Clementi,2019-03-01,116.2,10
Clementi,2019-04-01,228.5,19
Clementi,2019-05-01,211.79999999999998,17
Clementi,2019-06-01,227.0,22
Clementi,2019-07-01,71.2,9
Clementi,2019-08-01,27.8,5
Clementi,2019-09-01,114.4,6
Clementi,2019-10-01,131.2,20
Clementi,2019-11-01,213.4,19
Clementi,2019-12-01,248.0,18
Clementi,2020-01-01,121.8,14
Clementi,2020-02-01,91.0,7
Clementi,2020-03-01,138.8,18
Clementi,2020-04-01,289.2,20
Clementi,2020-05-01,241.2,19
Clementi,2020-06-01,293.4,20
Clementi,2020-07-01,140.6,21
Clementi,2020-08-01,116.8,13
Clementi,2020-09-01,398.0,23
Clementi,2020-10-01,196.1,20
Clementi,2020-11-01,233.20000000000002,20
Clementi,2020-12-01,186.6,22
Clementi,2021-01-01,394.2,19
Clementi,2021-02-01,24.4,7
Clementi,2021-03-01,332.0,16
Clementi,2021-04-01,192.79999999999998,15
Clementi,2021-05-01,277.4,17
Clementi,2021-06-01,224.8,15
Clementi,2021-07-01,269.4,14
Clementi,2021-08-01,454.8,24
Clementi,2021-09-01,267.6,15
Clementi,2021-10-01,146.4,15
Clementi,2021-11-01,259.0,24
Clementi,2021-12-01,270.6,18
Clementi,2022-01-01,171.3,13
Clementi,2022-02-01,234.20000000000002,16
Clementi,2022-03-01,239.4,20
Clementi,2022-04-01,262.8,19
Clementi,2022-05-01,222.4,12
Clementi,2022-06-01,225.6,23
Clementi,2022-07-01,109.0,12
Clementi,2022-08-01,332.8,17
Clementi,2022-09-01,330.4,16
Clementi,2022-10-01,456.20000000000005,25
Clementi,2022-11-01,330.4,26
Marina Barrage,2012-01-01,80.80000000000001,13
Marina Barrage,2012-02-01,71.8,12
Marina Barrage,2012-03-01,263.8,19
Marina Barrage,2012-04-01,195.4,19
Marina Barrage,2012-05-01,186.4,19
Marina Barrage,2012-06-01,69.4,6
Marina Barrage,2012-07-01,146.8,13
Marina Barrage,2012-08-01,156.6,13
Marina Barrage,2012-09-01,121.19999999999999,12
Marina Barrage,2012-10-01,115.8,11
Marina Barrage,2012-11-01,291.0,21
Marina Barrage,2012-12-01,377.8,24
Marina Barrage,2013-01-01,236.79999999999998,19
Marina Barrage,2013-02-01,336.4,18
Marina Barrage,2013-03-01,97.60000000000001,14
Marina Barrage,2013-04-01,207.8,18
Marina Barrage,2013-05-01,153.4,14
Marina Barrage,2013-06-01,57.6,13
Marina Barrage,2013-07-01,102.6,15
Marina Barrage,2013-08-01,146.6,14
Marina Barrage,2013-09-01,251.0,15
Marina Barrage,2013-10-01,288.2,20
Marina Barrage,2013-11-01,315.8,24
Marina Barrage,2013-12-01,178.2,21
Marina Barrage,2014-01-01,84.4,8
Marina Barrage,2014-02-01,3.0,1
Marina Barrage,2014-03-01,168.2,6
Marina Barrage,2014-04-01,241.4,13
Marina Barrage,2014-05-01,91.60000000000001,13
Marina Barrage,2014-06-01,71.4,17
Marina Barrage,2014-07-01,204.6,14
Marina Barrage,2014-08-01,155.8,19
Marina Barrage,2014-09-01,203.2,11
Marina Barrage,2014-10-01,97.2,8
Marina Barrage,2014-11-01,282.0,23
Marina Barrage,2014-12-01,455.0,22
Marina Barrage,2015-01-01,123.4,12
Marina Barrage,2015-02-01,49.4,5
Marina Barrage,2015-03-01,101.2,9
Marina Barrage,2015-04-01,259.2,17
Marina Barrage,2015-05-01,148.8,12
Marina Barrage,2015-06-01,49.0,9
Marina Barrage,2015-07-01,79.0,10
Marina Barrage,2015-08-01,163.0,14
Marina Barrage,2015-09-01,59.2,5
